ID,Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases
1,Yemen,9369,1778,5921,1670
2,Vietnam,839662,20555,782199,36908
3,Uzbekistan,178637,1271,174213,3153
4,UAE,737890,2114,731295,4481
5,Turkey,7444552,66180,6893476,484896
6,Timor-Leste,19673,119,19332,222
7,Thailand,1720919,17751,1592903,110265
8,Tajikistan,17084,124,16960,0
9,Taiwan,16305,846,15306,153
10,Syria,36953,2341,24503,10109
11,Sri Lanka,526383,13331,480097,32955
12,Singapore,126966,162,100497,26307
13,Saudi Arabia,547591,8745,536626,2220
14,S. Korea,332816,2583,298022,32211
15,Qatar,237424,607,235840,977
16,Philippines,2674814,39660,2536260,98894
17,Palestine,413410,4236,391359,17815
18,Pakistan,1258959,28134,1188562,42263
19,Oman,303978,4102,299309,567
20,Nepal,802861,11243,776831,14787
21,Myanmar,478651,18134,431275,29242
22,Mongolia,326738,1450,300074,25214
23,Maldives,85548,234,84064,1250
24,Malaysia,2339594,27329,2195669,116596
25,Macao,77,,64,13
26,Lebanon,630180,8385,602715,19080
27,Laos,28540,26,6558,21956
28,Kyrgyzstan,179338,2620,174086,2632
29,Kuwait,412079,2454,409002,623
30,Kazakhstan,905641,11559,847456,46626
31,Jordan,833471,10811,808972,13688
32,Japan,1710973,17941,1681202,11830
33,Israel,1306333,7920,1273091,25322
34,Iraq,2023761,22563,1945366,55832
35,Iran,5702890,122592,5217999,362299
36,Indonesia,4227932,142651,4060851,24430
37,India,33971607,450814,33293478,227315
38,Hong Kong,12269,213,11953,103
39,Georgia,635583,9269,602372,23942
40,Cyprus,119642,559,90755,28328
41,China,96423,4636,91074,713
42,Cambodia,115068,2527,108403,4138
43,Brunei,8980,64,6690,2226
44,Bhutan,2613,3,2603,7
45,Bangladesh,1562359,27688,1523833,10838
46,Bahrain,275654,1390,273672,592
47,Azerbaijan,492179,6664,473023,12492
48,Armenia,272957,5575,249158,18224
49,Afghanistan,155540,7228,126459,21853
